text,rating
"A wholesome delight!Anurag-Shetty23 July 2023Barbie is based on Mattel's iconic plastic dolls of the same name. Barbie(Margot Robbie) lives a very happy life in Barbie Land, along with her fellow Barbies, Ken(Ryan Gosling) & his fellow Kens. Suddenly, Barbie goes through an existential crisis that makes her question Barbie Land & the truth of her existence.Barbie is a phenomenal film. Director Greta Gerwig has given us a movie that is a tribute to everyone who used to play with Barbie dolls during their childhood, while also making fun of all the tropes of Barbie dolls & Ken dolls. This film is hilarious, with a few emotional scenes that will make you tear up & a beautiful message at the end. The production design by Sarah Greenwood is awe-inspiring. All the songs are foot-tappingly flawless. The choreography is faultless. Margot Robbie is outstanding as Barbie. Robbie's multi-layered portrayal of the titular character, proves that she's the perfect choice to play Barbie. Ryan Gosling is spectacular as Ken. Gosling portrays a wide range of emotions, effortlessly. Ryan Gosling's Ken is the highlight of the movie. America Ferrera is fantastic as Gloria. Ariana Greenblatt is awesome as Sasha. Will Ferrell is hysterical as the Mattel CEO. Michael Cera is perfect as Allan. Helen Mirren is epic as the Narrator. The supporting cast is superb. Barbie is a must watch for a burst of childhood nostalgia & fans of Greta Gerwig, Margot Robbie & Ryan Gosling. Wear a bright pink shirt, grab your friends, head to your nearest theatre, watch it on the big screen & have an absolute whale of a time!30 out of 99 found this helpful. Was this review helpful? Sign in to vote.Permalink",1
"Strong Start... and That's Itlokicola24 July 2023I walked out of the theatre thinking, ""Yeah, I had a good time in that movie"". But as the day went on I kind had that ""Ok, that kebab probably wasn't a good idea.""The film is stunning in its production design and creativity, and Margot Robbie is perfectly cast as the Stereotypical Barbie. For the most part, the songs are catchy and performances are solid for the type of characters being portraying.When we strip away the outside world and all the messaging, Barbie and Ken have a few poignant moments - Barbie realising she's not as perfect as she's been made to believe, or when Ken receives his first modicum of acknowledgement of being a sentient being he's ever had in his life. They also share a couple learning and growth moments which I thought would pay off at the end of the film.I don't know why, but I was hoping for something that would actually enlighten its audience, to acknowledge that things are a mess and make intentional and meaningful steps to get us closer to understanding and equality. The Barbie brand, history, controversies are so engrained in our culture that this movie had a potential to change our perspective of the world, and what the future could be. That's a lot of pressure for one film, I know.However... this film is absolutely not immune to the not-so-subtle messaging that has permeated all forms of media and entertainment recently. In fact, it embraces is. So much so that you have a scene where a man walks up behind Barbie and slaps her on the backside, in broad daylight, in a crowded space, in front of her boyfriend.... And this kind of portrayal of men in 2023 appears to be how the film views the world.Maybe it was this kind of overt comical depiction of men and the world generally that allowed me to get through the movie and kind of enjoy it, but upon reflection, I realise now it's just kind of... yuck.Barbie had the rare opportunity to be a film experience that not only highlighted issues in the real world, but offer and foster some ideas for change. Instead, we receive divisive and mean-spirited attack on half the human population as well as anyone who thinking having a family is an acceptable path in life. And also flat feet and cellulite.If you kind of switch off your brain for an hour and a bit, and don't take this film too seriously, then maybe you'll have a lasting positive memory after seeing this movie.But if you need to do that to enjoy something, then you need to ask yourself: why?40 out of 62 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"Fails to meet expectations, but still fun!MatthewMichaelHoffman20 July 2023Warning: Spoilers79 out of 308 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"Not so unique as expecteddreopdreef19 July 2023The concept of a Barbie movie is really unique and got me all exited. But unfortunately to me it delivers the same messages that we keep hearing as of lately.It started off quite funny, but after 45 minutes or so, the movie went in a direction I did not like. It took itself a bit too serious. I would have preferred a more lighthearted movie.Ryan Gosling did the best job out of everyone playing Ken I thought. The perfect guy with the perfect body and yet very campy, girly and insecure. Job well done, especially toward the end.If you are a fan of Barbie, you will probably get your money's worth.101 out of 178 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
Preach Preach PreachMaskedMinty21 July 2023Warning: Spoilers501 out of 699 found this helpful. Was this review helpful? Sign in to vote.Permalink,5
"A colorful love letter to human kindmavigangi20 July 2023I cried, I laughed, I dance and I did sing too. What a joyful time I had at the movies watching Barbie. This is a movie to celebrate how diverse and complicated are the humans. The cinematography is a outstanding as well as the production design and the vestuary. The casting seems like made in heaven. I recommend this movie for 11+ years old. And if you have a teen at home, take her with you. Barbie goes from fun to introspection and I love a good comedy that makes you think. Ryan Gosling is the perfect Ken, he does everything in this movie and shines every time he shows up. Margo is a perfect Barbie and got a real sense of the relevance this is going to have.268 out of 766 found this helpful. Was this review helpful? Sign in to vote.Permalink",1
"We're All Dollsklastaitas28 July 2023Without consumerism, without belief, without plastic accessory and hope for a perfect day, where would Barbie find herself?And more importantly where would we find ourselves?In a plot that seems stitched together like an old pair of vintage jeans (that you just can't let go of), Greta Gerwig serves us a platter of modern satire and deep analysis of the condition that we find ourselves in today.Barbie is perfect. Until she's not. And she's becomes accustomed to our culture. The perspective of an otherwise perfect doll born from a matriarchy is wholly interesting and captivating as we laugh, hate and cry throughout the movie. Barbie must find out what is wrong with her owner but in doing so she discovers imperfect humanity and falls in love with it. This is the story and it is told brilliantly.There is no need to mention the phenomenal performances by each and every actor in this film. The set design, the costumes, the cinematography are all a testament to Greta Gerwigs skill as a director.To view this film as merely a feminist blockbuster is to ignore the fact that feminism is not just woman's problem but a humanity's problem. This is what the movie displays. Go into it with an open mind and you will see that it does not preach for women to rule men but for men and women to discover themselves without being pressured by the culture around them. A message which needs to be broadcast across the world in a time of such needless division.We are all forced to live like dolls in this world and we must escape from this and discover ourselves. It is amazing to see Greta Gerwig and Noah Baumbach tackle such daring themes and pull it off. The comedy throughout provided by celebrity cameos and hilarious satire is spot on.The soundtrack is astounding and in particular Billie Eilish's song ""What was I made for?"" is a fantastic close to the journey of discovery that Barbie and Ken have been through.A brilliant achievement in modern film making that makes me hopeful for the future as we tackle more and more complex issues head on - rather than watch boring old men debate uselessness on YouTube.3 out of 4 found this helpful. Was this review helpful? Sign in to vote.Permalink",8
"Fun film whose script falls in on itselfmark-217-30703319 July 2023Margot Robbie's performance is perfect, and no other actor could've embodied the character as well as she does. However, Ryan Gosling is the film-stealer. I often forget his comedic talent, and he's given a lot of room to flex it in this. A cleverly executed Matchbox Twenty joke is particularly memorable.While cynics and perhaps realists will argue that the film is primarily a marketing vehicle to sell Barbie dolls, it does attempt to carry a moral message. However, the commercial aspect of the movie undercuts the credibility of this message somewhat.The movie starts off well, being smartly self-aware and offering a tongue-in-cheek critique of itself with many winks to the audience. However, as it progresses, the commentary on feminism and the patriarchy becomes heavy-handed, especially in the dialogue-heavy third act, which weighs down the overall narrative.The set and wardrobe designs are a standout. I think kids will love this part alone, even if some of the humor and social commentary will go over their heads.Overall, it's a fun film but not without its flaws. It's likely to spark discussion due to its blunt societal commentary. If you're looking for a visually impressive movie to entertain the kids, and you're willing to enjoy it without analyzing its message too deeply, then it's an enjoyable watch.236 out of 390 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
"What A Film! I Was Ecstatic About Seeing Barbie And It Definitely Exceeded My Expectations By Far.rannynm21 July 2023What a film! I was ecstatic about seeing Barbie and it definitely exceeded my expectations by far. As much as I was excited, I was a bit scared that the stakes were too high; after all Barbie is an icon and a part of so many people's childhood. For a film like this it's very easy to create something corny, disappointing, or unappealing to viewers. I'm so glad that Gretta Gerwig stepped up to the plate and created an absolute masterpiece.The film starts with showing the origin of Barbie in 1959. It explains how little girls used to play with baby dolls and commonly acted as their mothers, but wanted a doll that they could really play with instead of taking care of. And that's how Barbie came about. Then we see the beautiful Barbie world where every Barbie is a part of something. We see Barbie doctors, Barbie novelists, Barbie astronauts, Barbie everything! And in Barbie's world every day is perfect. The star of the show Margot Robbie plays ""Stereotypical Barbie"" and she starts to notice strange things happening to her. She has to visit the real world to see who was playing with her to discover why these strange things are happening. The rest of the film is about Barbie trying to find herself and discovering scary aspects of the real world that she was blinded by before.There was so much love put into this film and you can really see that on screen. The comedy in this film is so on point that the whole theater was laughing when I went to see this film. Huge kudos to Greta Gerwig and Noah Baumbach, writers of this incredible screenplay. The script is pure genius; I love how the film really honors Barbie and what she was made for. The cast of this film is exceptional. Margot Robbie was originally producing the film until she was cast as Barbie. Margot is the perfect Barbie; she plays this role so well she is like a real-life Barbie on screen. The way she embodies Barbie is just so perfect. I was really excited to see Ryan Gosling as Ken since he's one of my favorite actors. There's a lot of controversy as to why Ryan Gosling was cast as Ken but he makes perfect sense. He plays Ken so well he really nails what it means to be Ken in this film. America Ferrera plays a Mom named Gloria and she is such an interesting character. She plays a mom who's going through struggles of just being a woman and I'm sure her character will speak to so many mothers. It would be a crime to not talk about the insane set. Funny enough, Greta Gerwig used so much pink paint for this set that it actually drained an entire company's supply. The Barbie world is exactly as you'd expect it -- from Barbie dream-houses to Barbie beaches -- everything looks like it came right out of a toy store. Rodrigo Prieto shot this film and the cinematography is extraordinary. As someone who grew up with Barbie, this film really speaks to me. I am in love with the score of this film. Billie Eilish's ""What was I made for"" is one of the most beautiful songs I've heard. This film is packed with so many great artists like Tame Impalla, Lizzo, Dua Lipa and many others.The film is packed with so many messages. I was surprised with how many topics this film covers -- what it means to be a woman, what it means to be a mother, what it's like to grow up in today's society, what is love, and so much more. This film is a celebration of women and girlhood but I also love how it represents men. Ken is discovering how men are viewed in today's society in a similar way to how Barbie is discovering who she is.I give Barbie 5 out of 5 stars and recommend it for ages 8 to 18, plus adults. By Zoe C. KIDS FIRST!49 out of 195 found this helpful. Was this review helpful? Sign in to vote.Permalink",1
"Quite disappointingarslanmanzoor12321 July 2023Some friends freaking out that I went to see Barbie lol I mean I mentioned I went coz my sister insisted since ages. Anyway the movie was bad. These days, every other director and producer wants to convey messages about women rights and feminism through whatever platform possible and this movie was a perfect example of that with sheer cringe to convey all that. I wished I had gotten the ticket for Oppenheimer in the same timings as my sister's Barbie show. Other than that, the acting done by Margot Robbie and Ryan Gosling was great so can't take that away from them. They did justice to their roles.141 out of 243 found this helpful. Was this review helpful? Sign in to vote.Permalink",6
